SampleID	genome_depth	basename	Input	Primers removed	Post processing	Denoising	Chimera removal	AssignTaxonomy	Barcode	Run	old_filename	new_filename	Barcode_Quality	HiFi_Reads	HiFi_Mean_Read_Length	HiFi_Mean_Read_Quality	HiFi_Yield	Hive	Group	Bee	Timepoint	DPC	Replicate	SampleType	plate_extraction	plate_libraryprep
1.F.1.B	62388	1.F.1.B.fastq.gz	320379	313615	260957	257490	220633	217748	Kinnex16S_Fwd_04--Kinnex16S_Rev_23	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_04--Kinnex16S_Rev_23.hifi_reads.fastq.gz	1.F.1.B.fastq.gz	99.46733712	320000	1510	Q33	484032564	1	F	1	B	6	26/09/2024	colonized_bee	1	1
1.F.1.C	64681	1.F.1.C.fastq.gz	323144	316553	264023	261343	234319	231085	Kinnex16S_Fwd_05--Kinnex16S_Rev_31	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_05--Kinnex16S_Rev_31.hifi_reads.fastq.gz	1.F.1.C.fastq.gz	99.49068217	323000	1514	Q33	489260334	1	F	1	C	9	26/09/2024	colonized_bee	2	2
1.F.6.C	53739	1.F.6.C.fastq.gz	264379	259481	216202	212970	190778	189506	Kinnex16S_Fwd_04--Kinnex16S_Rev_39	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_04--Kinnex16S_Rev_39.hifi_reads.fastq.gz	1.F.6.C.fastq.gz	99.47556349	264000	1509	Q33	399013819	1	F	6	C	9	26/09/2024	colonized_bee	3	3
1.SWT.1.B	82170	1.SWT.1.B.fastq.gz	343148	338118	280345	277638	246746	245953	Kinnex16S_Fwd_03--Kinnex16S_Rev_34	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_03--Kinnex16S_Rev_34.hifi_reads.fastq.gz	1.SWT.1.B.fastq.gz	99.48356977	343000	1502	Q33	515565735	1	SWT	1	B	6	26/09/2024	colonized_bee	2	2
1.SWT.2.C	59081	1.SWT.2.C.fastq.gz	289262	284746	237434	235475	208961	208748	Kinnex16S_Fwd_05--Kinnex16S_Rev_35	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_05--Kinnex16S_Rev_35.hifi_reads.fastq.gz	1.SWT.2.C.fastq.gz	99.4627362	289000	1513	Q33	437921631	1	SWT	2	C	9	26/09/2024	colonized_bee	2	2
1.SWT.4.D	56578	1.SWT.4.D.fastq.gz	274222	269979	225028	221910	192284	191907	Kinnex16S_Fwd_07--Kinnex16S_Rev_38	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_07--Kinnex16S_Rev_38.hifi_reads.fastq.gz	1.SWT.4.D.fastq.gz	99.49096717	274000	1508	Q33	413780440	1	SWT	4	D	11	26/09/2024	colonized_bee	3	3
1.SWT.5.C	63414	1.SWT.5.C.fastq.gz	310042	305200	254469	253025	219860	219457	Kinnex16S_Fwd_05--Kinnex16S_Rev_36	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_05--Kinnex16S_Rev_36.hifi_reads.fastq.gz	1.SWT.5.C.fastq.gz	99.42391031	310000	1519	Q33	471193123	1	SWT	5	C	9	26/09/2024	colonized_bee	2	2
2.F.1.A	61148	2.F.1.A.fastq.gz	315102	307901	257194	255283	235073	233728	Kinnex16S_Fwd_01--Kinnex16S_Rev_34	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_01--Kinnex16S_Rev_34.hifi_reads.fastq.gz	2.F.1.A.fastq.gz	99.47146638	315000	1515	Q33	477491359	2	F	1	A	4	15/07/2024	colonized_bee	2	2
3.F.1.A	55621	3.F.1.A.fastq.gz	270862	266949	222170	219522	184434	184034	Kinnex16S_Fwd_02--Kinnex16S_Rev_38	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_02--Kinnex16S_Rev_38.hifi_reads.fastq.gz	3.F.1.A.fastq.gz	99.47504633	271000	1512	Q33	409733496	3	F	1	A	4	15/07/2024	colonized_bee	1	3
3.F.1.D	62202	3.F.1.D.fastq.gz	322723	317094	265031	262690	215764	215078	Kinnex16S_Fwd_07--Kinnex16S_Rev_36	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_07--Kinnex16S_Rev_36.hifi_reads.fastq.gz	3.F.1.D.fastq.gz	99.44147768	323000	1518	Q33	489984384	3	F	1	D	11	15/07/2024	colonized_bee	2	2
3.F.2.C	58690	3.F.2.C.fastq.gz	292499	287509	239672	236399	200039	198999	Kinnex16S_Fwd_06--Kinnex16S_Rev_30	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_06--Kinnex16S_Rev_30.hifi_reads.fastq.gz	3.F.2.C.fastq.gz	99.45119129	292000	1513	Q33	442682651	3	F	2	C	9	15/07/2024	colonized_bee	2	2
3.F.3.A	58163	3.F.3.A.fastq.gz	295725	290116	242298	238889	216487	215371	Kinnex16S_Fwd_01--Kinnex16S_Rev_36	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_01--Kinnex16S_Rev_36.hifi_reads.fastq.gz	3.F.3.A.fastq.gz	99.46541889	296000	1510	Q33	446547396	3	F	3	A	4	15/07/2024	colonized_bee	2	2
3.SWT.1.A	31796	3.SWT.1.A.fastq.gz	157924	155114	129031	127987	109272	108936	Kinnex16S_Fwd_02--Kinnex16S_Rev_26	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_02--Kinnex16S_Rev_26.hifi_reads.fastq.gz	3.SWT.1.A.fastq.gz	99.39228996	158000	1519	Q33	239908580	3	SWT	1	A	4	15/07/2024	colonized_bee	1	1
3.SWT.1.B	69587	3.SWT.1.B.fastq.gz	317773	312596	260109	257354	234490	233632	Kinnex16S_Fwd_04--Kinnex16S_Rev_31	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_04--Kinnex16S_Rev_31.hifi_reads.fastq.gz	3.SWT.1.B.fastq.gz	99.48839895	318000	1514	Q33	481217457	3	SWT	1	B	6	15/07/2024	colonized_bee	2	2
3.SWT.1.C	28203	3.SWT.1.C.fastq.gz	143268	140067	116744	115431	98522	96896	Kinnex16S_Fwd_05--Kinnex16S_Rev_39	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_05--Kinnex16S_Rev_39.hifi_reads.fastq.gz	3.SWT.1.C.fastq.gz	99.42689924	143268	1519	Q33	217640729	3	SWT	1	C	9	15/07/2024	colonized_bee	3	3
3.SWT.2.C	17961	3.SWT.2.C.fastq.gz	84774	83081	68852	68092	65292	65129	Kinnex16S_Fwd_07--Kinnex16S_Rev_25	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_07--Kinnex16S_Rev_25.hifi_reads.fastq.gz	3.SWT.2.C.fastq.gz	99.38130795	84800	1516	Q33	128518882	3	SWT	2	C	9	15/07/2024	colonized_bee	1	1
3.SWT.3.C	68001	3.SWT.3.C.fastq.gz	330098	323302	269110	267009	226827	225130	Kinnex16S_Fwd_06--Kinnex16S_Rev_32	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_06--Kinnex16S_Rev_32.hifi_reads.fastq.gz	3.SWT.3.C.fastq.gz	99.46247781	330000	1517	Q33	501026770	3	SWT	3	C	9	15/07/2024	colonized_bee	2	2
4.F.1.C	65318	4.F.1.C.fastq.gz	326214	320325	266244	261649	222708	220334	Kinnex16S_Fwd_06--Kinnex16S_Rev_33	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_06--Kinnex16S_Rev_33.hifi_reads.fastq.gz	4.F.1.C.fastq.gz	99.51825489	326000	1511	Q33	493041826	4	F	1	C	9	15/07/2024	colonized_bee	2	2
4.F.3.A	59328	4.F.3.A.fastq.gz	296585	291786	243318	240296	216399	215491	Kinnex16S_Fwd_02--Kinnex16S_Rev_32	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_02--Kinnex16S_Rev_32.hifi_reads.fastq.gz	4.F.3.A.fastq.gz	99.47359104	297000	1513	Q33	449021327	4	F	3	A	4	15/07/2024	colonized_bee	2	2
4.F.3.C	23086	4.F.3.C.fastq.gz	103908	101866	84432	83065	78710	78452	Kinnex16S_Fwd_07--Kinnex16S_Rev_27	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_07--Kinnex16S_Rev_27.hifi_reads.fastq.gz	4.F.3.C.fastq.gz	99.42397121	104000	1514	Q33	157376223	4	F	3	C	9	15/07/2024	colonized_bee	1	1
4.F.3.D	39497	4.F.3.D.fastq.gz	191570	186513	155498	153773	136936	135178	Kinnex16S_Fwd_08--Kinnex16S_Rev_32	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_08--Kinnex16S_Rev_32.hifi_reads.fastq.gz	4.F.3.D.fastq.gz	99.47945921	192000	1517	Q33	290772534	4	F	3	D	11	15/07/2024	colonized_bee	2	2
4.F.4.C	61082	4.F.4.C.fastq.gz	293144	288243	239866	236318	209782	208692	Kinnex16S_Fwd_06--Kinnex16S_Rev_34	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_06--Kinnex16S_Rev_34.hifi_reads.fastq.gz	4.F.4.C.fastq.gz	99.47229348	293000	1515	Q33	444376513	4	F	4	C	9	15/07/2024	colonized_bee	2	2
5.F.1.A	44940	5.F.1.A.fastq.gz	216948	213391	177226	174743	146842	145133	Kinnex16S_Fwd_03--Kinnex16S_Rev_23	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_03--Kinnex16S_Rev_23.hifi_reads.fastq.gz	5.F.1.A.fastq.gz	99.43586942	217000	1511	Q33	327858894	5	F	1	A	4	26/09/2024	colonized_bee	1	1
5.F.3.A	27280	5.F.3.A.fastq.gz	128496	126398	105254	104067	94009	93775	Kinnex16S_Fwd_02--Kinnex16S_Rev_35	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_02--Kinnex16S_Rev_35.hifi_reads.fastq.gz	5.F.3.A.fastq.gz	99.36326423	128000	1516	Q33	194916391	5	F	3	A	4	26/09/2024	colonized_bee	2	2
5.SWT.1.A	64478	5.SWT.1.A.fastq.gz	331847	324834	269764	266211	224911	221953	Kinnex16S_Fwd_04--Kinnex16S_Rev_21	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_04--Kinnex16S_Rev_21.hifi_reads.fastq.gz	5.SWT.1.A.fastq.gz	99.49716285	332000	1509	Q33	500828274	5	SWT	1	A	4	26/09/2024	colonized_bee	1	1
5.SWT.4.C	55378	5.SWT.4.C.fastq.gz	270380	265761	220889	216574	180895	179933	Kinnex16S_Fwd_06--Kinnex16S_Rev_39	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_06--Kinnex16S_Rev_39.hifi_reads.fastq.gz	5.SWT.4.C.fastq.gz	99.46707967	270000	1507	Q33	407497492	5	SWT	4	C	9	26/09/2024	colonized_bee	3	3
HF	10684	HF.fastq.gz	47709	46966	39068	38678	38620	38620	Kinnex16S_Fwd_09--Kinnex16S_Rev_40	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_09--Kinnex16S_Rev_40.hifi_reads.fastq.gz	HF.fastq.gz	99.49340795	47700	1493	Q33	71269734	NA	NA	NA	NA	NA	26/09/2024	inoculum_0h	3	3
Mix_15_1	31248	Mix_15_1.fastq.gz	156724	154531	128301	125315	116279	116279	Kinnex16S_Fwd_10--Kinnex16S_Rev_27	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_10--Kinnex16S_Rev_27.hifi_reads.fastq.gz	Mix_15_1.fastq.gz	99.51637273	157000	1496	Q33	234465050	NA	NA	NA	NA	NA	15/07/2024	inoculum_0h	1	1
Mix_15_2	46483	Mix_15_2.fastq.gz	224810	221668	185068	182889	178336	178336	Kinnex16S_Fwd_09--Kinnex16S_Rev_29	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_09--Kinnex16S_Rev_29.hifi_reads.fastq.gz	Mix_15_2.fastq.gz	99.52849962	225000	1496	Q33	336340213	NA	NA	NA	NA	NA	15/07/2024	inoculum_0h	2	2
Mix_26	106436	Mix_26.fastq.gz	564529	556781	464604	458343	405066	405066	Kinnex16S_Fwd_09--Kinnex16S_Rev_32	m84177_260123_081933_s4	m84177_260123_081933_s4.hifi_reads.Kinnex16S_Fwd_09--Kinnex16S_Rev_32.hifi_reads.fastq.gz	Mix_26.fastq.gz	99.55872418	565000	1492	Q33	842778200	NA	NA	NA	NA	NA	26/09/2024	inoculum_0h	2	2